ID,Country,Adm1,Adm2,Focus Area,Vaccine Type,Month,Doses,real_date
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,22-Sep,124,9/30/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,22-Oct,140,10/31/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,23-Jul,17,7/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,23-Sep,217,9/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,22-Sep,158,9/30/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,22-Oct,317,10/31/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,23-Jul,44,7/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,23-Sep,166,9/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,22-Sep,112,9/30/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,22-Oct,301,10/31/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,23-Jul,50,7/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,23-Sep,223,9/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 3,22-Sep,136,9/30/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 3,22-Oct,300,10/31/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 3,23-Jul,34,7/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 3,23-Sep,362,9/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,MCV 1,22-Sep,246,9/30/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,MCV 1,22-Oct,379,10/31/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,MCV 1,23-Jul,86,7/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,MCV 1,23-Sep,349,9/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 0,22-Sep,1108,9/30/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 0,22-Oct,149,10/31/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 0,23-Jul,17,7/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 0,23-Sep,128,9/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 1,22-Sep,90,9/30/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 1,22-Oct,178,10/31/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 1,23-Jul,27,7/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 1,23-Sep,206,9/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 2,22-Sep,221,9/30/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 2,22-Oct,430,10/31/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 2,23-Jul,61,7/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 2,23-Sep,527,9/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 3,22-Sep,198,9/30/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 3,22-Oct,394,10/31/2022
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 3,23-Jul,49,7/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,OPV 3,23-Sep,413,9/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,23-Nov,5,11/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,23-Dec,71,12/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Jan,27,1/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Feb,62,2/29/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Mar,19,3/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Apr,6,4/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-May,11,5/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Jun,18,6/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Jul,0,7/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Aug,0,8/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Sep,0,9/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Oct,43,10/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Nov,37,11/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,24-Dec,105,12/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Jan,16,1/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Feb,40,2/28/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Mar,36,3/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Apr,62,4/30/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-May,80,5/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Jun,112,6/30/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Jul,66,7/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Aug,52,8/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Sep,54,9/30/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Oct,77,10/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Nov,55,11/30/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,25-Dec,25,12/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,26-Jan,24,1/31/2026
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,26-Feb,27,2/28/2026
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,26-Mar,33,3/31/2026
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,26-Apr,59,4/30/2026
1,Ethioipia,Afar,Zone 2,Aba'ala ,BCG,26-May,5,5/31/2026
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,23-Nov,109,11/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,23-Dec,210,12/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Jan,99,1/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Feb,141,2/29/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Mar,77,3/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Apr,58,4/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-May,41,5/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Jun,44,6/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Jul,188,7/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Aug,21,8/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Sep,52,9/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Oct,90,10/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Nov,192,11/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,24-Dec,752,12/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Jan,273,1/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Feb,237,2/28/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Mar,111,3/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Apr,377,4/30/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-May,565,5/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Jun,419,6/30/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Jul,252,7/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Aug,255,8/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Sep,185,9/30/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Oct,356,10/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Nov,287,11/30/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,25-Dec,141,12/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,26-Jan,81,1/31/2026
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,26-Feb,113,2/28/2026
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,26-Mar,104,3/31/2026
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,26-Apr,188,4/30/2026
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 1,26-May,30,5/31/2026
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,23-Nov,4,11/30/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,23-Dec,212,12/31/2023
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Jan,92,1/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Feb,134,2/29/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Mar,62,3/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Apr,53,4/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-May,58,5/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Jun,53,6/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Jul,170,7/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Aug,13,8/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Sep,33,9/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Oct,60,10/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Nov,161,11/30/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,24-Dec,596,12/31/2024
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,25-Jan,326,1/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,25-Feb,358,2/28/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,25-Mar,247,3/31/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,25-Apr,381,4/30/2025
1,Ethioipia,Afar,Zone 2,Aba'ala ,DPT 2,25-May,1170,5/31/2025
